id,symbol,name,chain,ecosystem,address,usd_price,mcap,fdv,volume_24h,total_liquidity,price_change_percentage_1h,price_change_percentage_24h,price_change_percentage_7d,price_change_percentage_30d,volume_change_percentage_7d,volume_change_percentage_30d,mcap_change_percentage_7d,mcap_change_percentage_30d,price_high_24h,price_ath,circulating_supply,total_supply,support,resistance,rsi,sma,total_holder_count,holder_count_change_percentage_24h,fifty_percentage_holding_wallet_count,first_100_buyers_initial_bought,first_100_buyers_initial_bought_percentage,first_100_buyers_current_holding,first_100_buyers_current_holding_percentage,top_10_holder_balance,top_10_holder_percentage,top_50_holder_balance,top_50_holder_percentage,top_100_holder_balance,top_100_holder_percentage,top_25_holder_buy_24h,top_25_holder_sold_24h,wallet_address,wallet_balance,dev_wallet_total_holding_percentage,dev_wallet_outflow_txs_count_24h,dev_wallet_outflow_amount_24h,fresh_wallet,dev_sold,dev_sold_percentage,bundle_wallet_count,bundle_wallet_supply_percentage,mindshare_3d,mindshare_change_percentage_3d,impression_count_3d,impression_count_change_percentage_3d,engagement_count_3d,engagement_count_change_percentage_3d,follower_count_3d,smart_follower_count_3d,mindshare_7d,mindshare_change_percentage_7d,impression_count_7d,impression_count_change_percentage_7d,engagement_count_7d,engagement_count_change_percentage_7d,follower_count_7d,smart_follower_count_7d,last_updated_at
usd-coin,USDC,USDC,base,base,,0.9998,61053813757.00,61057119870.00,14451003965.00,27010901.90,0.00,0.00,0.00,-0.02,,,,,0.9998,1.1700,61069869420.33,61073176402.22,0.0007399915,211653.7517033627,50.00,5521.0075656936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:27.578Z
wrapped-steth,WSTETH,Wrapped stETH,base,base,,3050.8500,10975086833.00,10975086833.00,19150462.00,,-0.05,-8.05,2.93,-4.15,,,,,3336.3700,7256.0200,3596619.75,3596619.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:27.590Z
aave,AAVE,Aave,base,base,,282.1500,4277561083.00,4514885344.00,926318031.00,9932739.10,-0.60,-4.70,13.91,20.90,,,,,307.4900,661.6900,15158962.43,16000000.00,264.8040487061,317.3306634841,33.82,295.3896698890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:27.618Z
lombard-staked-btc,LBTC,Lombard Staked BTC,base,base,,105252.0000,2233967463.00,2233967463.00,17907076.00,6835491.30,0.10,-2.03,2.26,2.31,,,,,108050.0000,114576.0000,21211.88,21211.88,103291.3518704100,110177.2634409450,34.77,107348.7577303925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:27.623Z
fasttoken,FTN,Fasttoken,base,base,,4.4500,1911732424.00,3869610019.00,55818922.00,,0.20,0.33,0.79,1.87,,,,,4.4600,4.4600,429506390.60,869380155.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:27.633Z
virtual-protocol,VIRTUAL,Virtuals Protocol,base,virtuals,,1.8600,1222701336.00,1867114246.00,502204688.00,2420573.10,-0.59,-9.89,10.15,-7.18,,,,,2.1200,5.0700,654861553.68,1000000000.00,1.7039028427,2.3156481018,39.84,2.0284219793,816175,4.65,37.00,22826179.00,2.28,3995924.73,0.40,172687664.90,17.27,265157169.34,26.52,286112396.80,28.61,141093224.88,142221152.68,,,,,,False,False,0.00,,,23.613215525727323,9.25,1064781,-50.88,22382,1.85,264965,4238,22.16033889167876,23.7,3284306,383.47,46060,156.02,264965,4192,2025-06-13T08:45:27.655Z
rocket-pool-eth,RETH,Rocket Pool ETH,base,base,,2876.0400,1194383545.00,1194383545.00,3470820.00,4098240.10,-0.08,-8.11,2.75,-4.06,,,,,3149.1500,4814.3100,415159.81,415159.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:27.667Z
solv-btc,SOLVBTC,Solv Protocol BTC,base,base,,104937.0000,895253848.00,895253848.00,1740709.00,34441.00,0.37,-2.46,1.84,1.21,,,,,108263.0000,111685.0000,8523.29,8523.29,100444.9268672300,110336.8968156190,18.96,106218.3934440156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:27.691Z
renzo-restaked-eth,EZETH,Renzo Restaked ETH,base,base,,2653.3700,855848555.00,855849862.00,2276132.00,34192.00,-0.19,-8.41,2.47,-4.63,,,,,2913.0000,4207.0500,320893.21,320893.70,2597.2344777405,2670.1203551169,54.71,2637.8381347851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:27.698Z
clbtc,CLBTC,clBTC,base,base,,105281.0000,815391017.00,815391017.00,65.00,19572.00,-0.29,-2.35,1.88,3.08,,,,,108759.0000,114212.0000,7723.22,7723.22,,,45.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-13T08:45:27.716Z
