id,symbol,name,chain,ecosystem,address,usd_price,mcap,fdv,volume_24h,total_liquidity,price_change_percentage_1h,price_change_percentage_24h,price_change_percentage_7d,price_change_percentage_30d,volume_change_percentage_7d,volume_change_percentage_30d,mcap_change_percentage_7d,mcap_change_percentage_30d,price_high_24h,price_ath,circulating_supply,total_supply,support,resistance,rsi,sma,total_holder_count,holder_count_change_percentage_24h,fifty_percentage_holding_wallet_count,first_100_buyers_initial_bought,first_100_buyers_initial_bought_percentage,first_100_buyers_current_holding,first_100_buyers_current_holding_percentage,top_10_holder_balance,top_10_holder_percentage,top_50_holder_balance,top_50_holder_percentage,top_100_holder_balance,top_100_holder_percentage,top_25_holder_buy_24h,top_25_holder_sold_24h,wallet_address,wallet_balance,dev_wallet_total_holding_percentage,dev_wallet_outflow_txs_count_24h,dev_wallet_outflow_amount_24h,fresh_wallet,dev_sold,dev_sold_percentage,bundle_wallet_count,bundle_wallet_supply_percentage,mindshare_3d,mindshare_change_percentage_3d,impression_count_3d,impression_count_change_percentage_3d,engagement_count_3d,engagement_count_change_percentage_3d,follower_count_3d,smart_follower_count_3d,mindshare_7d,mindshare_change_percentage_7d,impression_count_7d,impression_count_change_percentage_7d,engagement_count_7d,engagement_count_change_percentage_7d,follower_count_7d,smart_follower_count_7d,last_updated_at
0xc4f492b49dcaac71251b8d0ab6ec5d778401d8bb-prototype,$WKAI,WorkoutAI,base,virtuals,,0.0000,12246.50,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,266,,,,,,,105509820.42,10.55,109104561.94,10.91,109104561.94,10.91,0.00,0.00,0xc463da40f042b518a59d7f1685cc60334ee38ddc,54597022.00,5.50,,,True,False,0.00,1,5.46,,,,,,,,,,,,,,,,,2025-06-18T17:09:01.913Z
0x05f5844f942adb0653c69c139c3389adc9d69a5b-prototype,MINDAI,MindshareAI,base,virtuals,,0.0000,11025.80,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,50,,47.00,340501723.52,34.05,61082615.18,6.11,61082615.18,6.11,61082615.18,6.11,61082615.18,6.11,0.00,0.00,0x23ad2621ba534e14e0d6421b5c27f6af775f7dcf,7230781.00,0.70,,,True,False,0.00,1,0.72,,,,,,,,,,,,,,,,,2025-06-18T17:09:01.916Z
0xf3af02d890e25350670c22e83aa960c38867fd66-prototype,PALAI,PaladinAI,base,virtuals,,0.0000,9795.40,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,30,,,581101936.13,58.11,3858303.31,0.39,3858303.31,0.39,3858303.31,0.39,3858303.31,0.39,0.00,0.00,0x6aa404870140a208a3a1e848e019d65ff4050aeb,,,,,True,True,100.00,1,,,,,,,,,,,,,,,,,,2025-06-18T17:08:28.088Z
0x339b1fdcb5481b8dadbc90714eb801eff3cf7711-prototype,GAI,GAIA AI,base,virtuals,,0.0000,12468.00,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,4,,3.00,351560330.09,35.16,,,,,,,,,0.00,0.00,0xdd20eb9696d728188b00d588da89ba5da5b3ba50,,,,,True,True,100.00,1,,,,,,,,,,,,,,,,,,2025-06-18T17:06:14.910Z
0x687902ba1eddc1d2a19d986578befe2ab8894e1d-prototype,KOK,KOK Launcher,base,virtuals,,0.0000,11193.00,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,206,,203.00,761644451.42,76.16,8898477.86,0.89,57397677.64,5.74,68094922.95,6.81,68108542.07,6.81,0.00,0.00,0xa87a404f4562cd00c0ae059544639dd70880a62f,,,,,False,True,100.00,1,,,,,,,,,,,,,,,,,,2025-06-18T17:09:44.428Z
0x99d5e024fdc4ed74f1fca2f244a2851c7cb80dae-prototype,ALIEN,Locked In Alien,base,virtuals,,0.0000,9900.90,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,52,,,340985947.27,34.10,9179801.11,0.92,9179801.11,0.92,9179801.11,0.92,9179801.11,0.92,0.00,0.00,0x5de6a1d6b6fb803b4225bf72f96896b62aeb300b,5741840.90,0.60,,,False,False,0.00,1,0.57,,,,,,,,,,,,,,,,,2025-06-18T17:08:37.644Z
0x3d5b7c78de565efc1c310069a4fe5306b0a4a4fe-prototype,MONITI,Monitize,base,virtuals,,0.0000,9786.90,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,44,,43.00,904041509.97,90.40,3424609.81,0.34,3424609.81,0.34,3424609.81,0.34,3424609.81,0.34,0.00,0.00,0xcc242a6bcafeb3fbd17901fc08255b09ef46dd5f,,,,,True,True,100.00,1,,,,,,,,,,,,,,,,,,2025-06-18T17:06:00.961Z
0x84827aa1c1d7148f60755a6dfb5fb70423b72355-prototype,MIND,LexiMind,base,virtuals,,0.0000,9770.30,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,40,,38.00,,,,,2576086.16,0.26,2576086.16,0.26,2576086.16,0.26,0.00,0.00,0x9b81cee95d4e4348553e741ad257bca60f48bdf3,,,,,True,True,100.00,1,,,,,,,,,,,,,,,,,,2025-06-18T17:08:26.537Z
0xd76a13d48c95cefe0eaf6349b58b989751f55310-prototype,STARAI,StarGate AI,base,virtuals,,0.0000,9720.00,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,6,,5.00,163162231.26,16.32,74.90,0.00,74.90,0.00,74.90,0.00,74.90,0.00,0.00,0.00,0x2789dcaa7d09a2aa5a0b9eb63837e94575e0954b,,,,,False,True,100.00,1,,,,,,,,,,,,,,,,,,2025-06-18T17:08:41.437Z
0xf05c3820708060c5b4ffa9105d764e4ad820ef62-prototype,WEAVER,Starweaver,base,virtuals,,0.0000,9720.00,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,1,,,,,,,,,,,,,0.00,0.00,0x73bd2949a3a10814102fa95bbe31cd26a95ff480,,,,,True,True,100.00,1,,,,,,,,,,,,,,,,,,2025-06-18T17:07:57.226Z
