symbol,chain,timestamp,reason
speare,base,2025-06-19 00:51:47,No market data returned
fade,base,2025-06-19 00:51:47,No market data returned
rambo,base,2025-06-19 00:51:50,No market data returned
saylor,base,2025-06-19 00:51:50,No market data returned
maven,base,2025-06-19 00:51:50,No market data returned
lisa,base,2025-06-19 00:51:53,No market data returned
kuki,base,2025-06-19 00:51:53,No market data returned
zenai,base,2025-06-19 00:51:55,No market data returned
noooo,base,2025-06-19 00:51:55,No market data returned
savy,base,2025-06-19 00:51:55,No market data returned
luce,base,2025-06-19 00:51:55,No market data returned
pfnet,base,2025-06-19 00:51:55,No market data returned
mommyd,base,2025-06-19 00:51:55,No market data returned
grug,base,2025-06-19 00:51:55,No market data returned
apc,base,2025-06-19 00:51:55,No market data returned
coin50,base,2025-06-19 00:51:55,No market data returned
nrn,base,2025-06-19 00:51:58,No market data returned
strump,base,2025-06-19 00:51:58,No market data returned
hikari,base,2025-06-19 00:51:58,No market data returned
eross,base,2025-06-19 00:51:58,No market data returned
orion,base,2025-06-19 00:51:58,No market data returned
lheal,base,2025-06-19 00:51:58,No market data returned
z.u.m,base,2025-06-19 00:51:58,No market data returned
wbtc,base,2025-06-19 00:51:58,No market data returned
aa,base,2025-06-19 00:52:00,No market data returned
planb,base,2025-06-19 00:52:00,No market data returned
xxx,base,2025-06-19 00:52:00,No market data returned
memek,base,2025-06-19 00:52:00,No market data returned
duko,base,2025-06-19 00:52:00,No market data returned
russel,base,2025-06-19 00:52:00,No market data returned
aif,base,2025-06-19 00:52:00,No market data returned
emi,base,2025-06-19 00:52:00,No market data returned
jp,base,2025-06-19 00:52:03,No market data returned
prof,base,2025-06-19 00:52:03,No market data returned
frza,base,2025-06-19 00:52:03,No market data returned
astrea,base,2025-06-19 00:52:03,No market data returned
cstud,base,2025-06-19 00:52:03,No market data returned
awhite,base,2025-06-19 00:52:03,No market data returned
as,base,2025-06-19 00:52:03,No market data returned
crygd,base,2025-06-19 00:52:03,No market data returned
neura,base,2025-06-19 00:52:03,No market data returned
ragma,base,2025-06-19 00:52:06,No market data returned
cuck,base,2025-06-19 00:52:06,No market data returned
fbi,base,2025-06-19 00:52:06,No market data returned
eriss,base,2025-06-19 00:52:06,No market data returned
akeno,base,2025-06-19 00:52:08,No market data returned
dogv,base,2025-06-19 00:52:08,No market data returned
nana,base,2025-06-19 00:52:08,No market data returned
fcat,base,2025-06-19 00:52:08,No market data returned
queen,base,2025-06-19 00:52:11,No market data returned
wonder,base,2025-06-19 00:52:11,No market data returned
met,base,2025-06-19 00:52:11,No market data returned
peng,base,2025-06-19 00:52:14,No market data returned
chain,base,2025-06-19 00:52:14,No market data returned
jinu,base,2025-06-19 00:52:14,No market data returned
ainsem,base,2025-06-19 00:52:14,No market data returned
osama,base,2025-06-19 00:52:14,No market data returned
ax-el,base,2025-06-19 00:52:17,No market data returned
cipher,base,2025-06-19 00:52:17,No market data returned
milk,base,2025-06-19 00:52:17,No market data returned
prince,base,2025-06-19 00:52:17,No market data returned
vt,base,2025-06-19 00:52:17,No market data returned
lebron,base,2025-06-19 00:52:17,No market data returned
sir,base,2025-06-19 00:52:17,No market data returned
juju,base,2025-06-19 00:52:17,No market data returned
hrse,base,2025-06-19 00:52:19,No market data returned
pinocc,base,2025-06-19 00:52:22,No market data returned
adog,base,2025-06-19 00:52:22,No market data returned
rich,base,2025-06-19 00:52:22,No market data returned
lib,base,2025-06-19 00:52:24,No market data returned
truth,base,2025-06-19 00:52:24,No market data returned
ainews,base,2025-06-19 00:52:24,No market data returned
lds,base,2025-06-19 00:52:24,No market data returned
crunch,base,2025-06-19 00:52:24,No market data returned
teeth,base,2025-06-19 00:52:24,No market data returned
opk,base,2025-06-19 00:52:24,No market data returned
zntr,base,2025-06-19 00:52:24,No market data returned
rooste,base,2025-06-19 00:52:24,No market data returned
dg,base,2025-06-19 00:52:24,No market data returned
enj,base,2025-06-19 00:52:24,No market data returned
him,base,2025-06-19 00:52:27,No market data returned
mami,base,2025-06-19 00:52:27,No market data returned
ponoe,base,2025-06-19 00:52:27,No market data returned
lyle,base,2025-06-19 00:52:27,No market data returned
dogs,base,2025-06-19 00:52:27,No market data returned
startl,base,2025-06-19 00:52:27,No market data returned
test1,base,2025-06-19 00:52:27,No market data returned
novai,base,2025-06-19 00:52:27,No market data returned
mbar,base,2025-06-19 00:52:27,No market data returned
marc,base,2025-06-19 00:52:27,No market data returned
lol,base,2025-06-19 00:52:27,No market data returned
sauna,base,2025-06-19 00:52:27,No market data returned
0.001,base,2025-06-19 00:52:29,No market data returned
redpan,base,2025-06-19 00:52:29,No market data returned
sadfsa,base,2025-06-19 00:52:29,No market data returned
uhkjh,base,2025-06-19 00:52:29,No market data returned
hfdghf,base,2025-06-19 00:52:29,No market data returned
3,base,2025-06-19 00:52:29,No market data returned
sadf,base,2025-06-19 00:52:29,No market data returned
kontol,base,2025-06-19 00:52:29,No market data returned
tt,base,2025-06-19 00:52:29,No market data returned
8,base,2025-06-19 00:52:29,No market data returned
kajsdf,base,2025-06-19 00:52:29,No market data returned
2,base,2025-06-19 00:52:29,No market data returned
yyy,base,2025-06-19 00:52:29,No market data returned
bneo,base,2025-06-19 00:52:29,No market data returned
test3,base,2025-06-19 00:52:29,No market data returned
kontol,base,2025-06-19 00:52:29,No market data returned
balls,base,2025-06-19 00:52:29,No market data returned
chunky,base,2025-06-19 00:52:32,No market data returned
asrk,base,2025-06-19 00:52:32,No market data returned
epta,base,2025-06-19 00:52:32,No market data returned
5,base,2025-06-19 00:52:32,No market data returned
6,base,2025-06-19 00:52:32,No market data returned
batmog,base,2025-06-19 00:52:32,No market data returned
gpu,base,2025-06-19 00:52:32,No market data returned
oldman,base,2025-06-19 00:52:32,No market data returned
ghost,base,2025-06-19 00:52:32,No market data returned
purr,base,2025-06-19 00:52:34,No market data returned
blaze,base,2025-06-19 00:52:34,No market data returned
aoa,base,2025-06-19 00:52:34,No market data returned
o-w-l,base,2025-06-19 00:52:34,No market data returned
npc,base,2025-06-19 00:52:34,No market data returned
kaviai,base,2025-06-19 00:52:34,No market data returned
libert,base,2025-06-19 00:52:34,No market data returned
tfws,base,2025-06-19 00:52:34,No market data returned
devai,base,2025-06-19 00:52:34,No market data returned
redpil,base,2025-06-19 00:52:34,No market data returned
pnut,base,2025-06-19 00:52:37,No market data returned
breet,base,2025-06-19 00:52:37,No market data returned
🙌,base,2025-06-19 00:52:37,No market data returned
aldev,base,2025-06-19 00:52:37,No market data returned
atime,base,2025-06-19 00:52:37,No market data returned
miku,base,2025-06-19 00:52:37,No market data returned
madape,base,2025-06-19 00:52:37,No market data returned
🟥🟩,base,2025-06-19 00:52:37,No market data returned
aeon,base,2025-06-19 00:52:39,No market data returned
mik,base,2025-06-19 00:52:39,No market data returned
🟥🟩,base,2025-06-19 00:52:39,No market data returned
quadri,base,2025-06-19 00:52:39,No market data returned
nebula,base,2025-06-19 00:52:39,No market data returned
yakub,base,2025-06-19 00:52:39,No market data returned
deai,base,2025-06-19 00:52:39,No market data returned
bpyc,base,2025-06-19 00:52:39,No market data returned
asda,base,2025-06-19 00:52:39,No market data returned
potus,base,2025-06-19 00:52:39,No market data returned
musk,base,2025-06-19 00:52:39,No market data returned
aptech,base,2025-06-19 00:52:39,No market data returned
eris,base,2025-06-19 00:52:39,No market data returned
lotus,base,2025-06-19 00:52:39,No market data returned
ailene,base,2025-06-19 00:52:39,No market data returned
djtai,base,2025-06-19 00:52:39,No market data returned
helios,base,2025-06-19 00:52:39,No market data returned
chaika,base,2025-06-19 00:52:39,No market data returned
asdasd,base,2025-06-19 00:52:39,No market data returned
msdoc,base,2025-06-19 00:52:39,No market data returned
ailyn,base,2025-06-19 00:52:41,No market data returned
gen,base,2025-06-19 00:52:41,No market data returned
high,base,2025-06-19 00:52:41,No market data returned
bezzy,base,2025-06-19 00:52:41,No market data returned
yunita,base,2025-06-19 00:52:41,No market data returned
yui,base,2025-06-19 00:52:41,No market data returned
chaos,base,2025-06-19 00:52:41,No market data returned
aicoin,base,2025-06-19 00:52:41,No market data returned
bird,base,2025-06-19 00:52:41,No market data returned
tremp,base,2025-06-19 00:52:41,No market data returned
iloveu,base,2025-06-19 00:52:41,No market data returned
mrsdoc,base,2025-06-19 00:52:41,No market data returned
lbrty,base,2025-06-19 00:52:41,No market data returned
fight,base,2025-06-19 00:52:41,No market data returned
lexa,base,2025-06-19 00:52:41,No market data returned
aihana,base,2025-06-19 00:52:41,No market data returned
mkm,base,2025-06-19 00:52:41,No market data returned
nex,base,2025-06-19 00:52:41,No market data returned
notpvp,base,2025-06-19 00:52:44,No market data returned
sbr,base,2025-06-19 00:52:44,No market data returned
ardizo,base,2025-06-19 00:52:44,No market data returned
enzo,base,2025-06-19 00:52:44,No market data returned
fun,base,2025-06-19 00:52:44,No market data returned
kate,base,2025-06-19 00:52:44,No market data returned
hks,base,2025-06-19 00:52:44,No market data returned
comedy,base,2025-06-19 00:52:44,No market data returned
presi,base,2025-06-19 00:52:44,No market data returned
bruss,base,2025-06-19 00:52:44,No market data returned
trumd,base,2025-06-19 00:52:44,No market data returned
mk-1,base,2025-06-19 00:52:44,No market data returned
tsoni,base,2025-06-19 00:52:47,No market data returned
bitcat,base,2025-06-19 00:52:47,No market data returned
l.t.c,base,2025-06-19 00:52:47,No market data returned
vi,base,2025-06-19 00:52:47,No market data returned
memer,base,2025-06-19 00:52:49,No market data returned
morris,base,2025-06-19 00:52:49,No market data returned
zga,base,2025-06-19 00:52:49,No market data returned
phnx,base,2025-06-19 00:52:49,No market data returned
lumin,base,2025-06-19 00:52:49,No market data returned
lore,base,2025-06-19 00:52:49,No market data returned
bwd,base,2025-06-19 00:52:49,No market data returned
egg,base,2025-06-19 00:52:49,No market data returned
roland,base,2025-06-19 00:52:49,No market data returned
kirby,base,2025-06-19 00:52:49,No market data returned
spig,base,2025-06-19 00:52:49,No market data returned
shiba,base,2025-06-19 00:52:49,No market data returned
bullai,base,2025-06-19 00:52:49,No market data returned
beef,base,2025-06-19 00:52:51,No market data returned
meai,base,2025-06-19 00:52:51,No market data returned
burn,base,2025-06-19 00:52:51,No market data returned
ice,base,2025-06-19 00:52:51,No market data returned
peasy,base,2025-06-19 00:52:51,No market data returned
kiara,base,2025-06-19 00:52:51,No market data returned
suno,base,2025-06-19 00:52:51,No market data returned
l,base,2025-06-19 00:52:51,No market data returned
sara,base,2025-06-19 00:52:51,No market data returned
krupta,base,2025-06-19 00:52:51,No market data returned
tux,base,2025-06-19 00:52:51,No market data returned
rzr,base,2025-06-19 00:52:51,No market data returned
mm,base,2025-06-19 00:52:54,No market data returned
gpt,base,2025-06-19 00:52:54,No market data returned
gigess,base,2025-06-19 00:52:54,No market data returned
pemau,base,2025-06-19 00:52:54,No market data returned
pika,base,2025-06-19 00:52:54,No market data returned
adb,base,2025-06-19 00:52:54,No market data returned
stia,base,2025-06-19 00:52:54,No market data returned
ahb,base,2025-06-19 00:52:54,No market data returned
sc,base,2025-06-19 00:52:54,No market data returned
aximo,base,2025-06-19 00:52:54,No market data returned
meta,base,2025-06-19 00:52:54,No market data returned
borzoi,base,2025-06-19 00:52:54,No market data returned
aqlp,base,2025-06-19 00:52:54,No market data returned
laidy,base,2025-06-19 00:52:54,No market data returned
aeolia,base,2025-06-19 00:52:54,No market data returned
sonusa,base,2025-06-19 00:52:54,No market data returned
zara,base,2025-06-19 00:52:54,No market data returned
pi,base,2025-06-19 00:52:54,No market data returned
sister,base,2025-06-19 00:52:54,No market data returned
